IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.167.65,8443,8443,true,SIN,Asia Pacific,Singapore,55,2.69
47.236.15.73,2082,2082,false,SIN,Asia Pacific,Singapore,201,2.68
8.219.114.201,8080,8080,false,SIN,Asia Pacific,Singapore,58,2.68
47.236.114.167,2082,2082,false,SIN,Asia Pacific,Singapore,62,2.68
8.222.137.178,2095,2095,false,SIN,Asia Pacific,Singapore,134,2.68
8.222.212.219,2053,2053,true,SIN,Asia Pacific,Singapore,96,2.67
8.222.224.163,2095,2095,false,SIN,Asia Pacific,Singapore,63,2.67
47.236.87.206,2082,2082,false,SIN,Asia Pacific,Singapore,79,2.67
8.222.144.219,8443,8443,true,SIN,Asia Pacific,Singapore,57,2.67
8.219.198.139,2052,2052,false,SIN,Asia Pacific,Singapore,53,2.67
8.222.164.44,8080,8080,false,SIN,Asia Pacific,Singapore,63,2.67
8.222.182.10,2086,2086,false,SIN,Asia Pacific,Singapore,144,2.66
47.245.89.102,2087,2087,true,SIN,Asia Pacific,Singapore,108,2.66
8.222.140.185,8080,8080,false,SIN,Asia Pacific,Singapore,87,2.66
8.222.226.92,443,443,true,SIN,Asia Pacific,Singapore,51,2.65
47.236.97.90,8080,8080,false,SIN,Asia Pacific,Singapore,68,2.65
8.219.210.226,8080,8080,false,SIN,Asia Pacific,Singapore,66,2.65
8.219.208.69,2086,2086,false,SIN,Asia Pacific,Singapore,76,2.65
8.222.219.34,2082,2082,false,SIN,Asia Pacific,Singapore,137,2.65
8.222.214.231,8880,8880,false,SIN,Asia Pacific,Singapore,115,2.65
47.236.114.23,2083,2083,true,SIN,Asia Pacific,Singapore,62,2.65
8.222.167.8,2086,2086,false,SIN,Asia Pacific,Singapore,93,2.65
8.222.145.110,80,80,false,SIN,Asia Pacific,Singapore,142,2.65
47.236.83.196,2095,2095,false,SIN,Asia Pacific,Singapore,69,2.65
47.236.114.23,2096,2096,true,SIN,Asia Pacific,Singapore,72,2.65
8.222.150.197,2096,2096,true,SIN,Asia Pacific,Singapore,182,2.65
8.222.129.32,2087,2087,true,SIN,Asia Pacific,Singapore,104,2.64
8.222.137.178,2087,2087,true,SIN,Asia Pacific,Singapore,179,2.64
8.222.249.190,80,80,false,SIN,Asia Pacific,Singapore,75,2.64
8.219.249.38,2082,2082,false,SIN,Asia Pacific,Singapore,125,2.64
8.222.145.110,2087,2087,true,SIN,Asia Pacific,Singapore,51,2.64
47.236.148.174,80,80,false,SIN,Asia Pacific,Singapore,76,2.63
8.222.212.172,8443,8443,true,SIN,Asia Pacific,Singapore,74,2.63
47.236.130.95,2087,2087,true,SIN,Asia Pacific,Singapore,78,2.63
8.222.175.78,2053,2053,true,SIN,Asia Pacific,Singapore,91,2.63
8.222.224.162,8880,8880,false,SIN,Asia Pacific,Singapore,113,2.63
8.219.222.98,2052,2052,false,SIN,Asia Pacific,Singapore,132,2.62
8.222.182.10,80,80,false,SIN,Asia Pacific,Singapore,147,2.62
8.222.215.228,2083,2083,true,SIN,Asia Pacific,Singapore,53,2.62
8.222.129.32,8880,8880,false,SIN,Asia Pacific,Singapore,81,2.62
8.219.222.98,2087,2087,true,SIN,Asia Pacific,Singapore,180,2.62
8.222.150.197,2083,2083,true,SIN,Asia Pacific,Singapore,50,2.62
8.222.212.219,8443,8443,true,SIN,Asia Pacific,Singapore,88,2.61
8.222.187.107,2052,2052,false,SIN,Asia Pacific,Singapore,58,2.61
8.222.167.147,2086,2086,false,SIN,Asia Pacific,Singapore,53,2.61
8.219.167.65,2082,2082,false,SIN,Asia Pacific,Singapore,51,2.61
8.222.175.78,2096,2096,true,SIN,Asia Pacific,Singapore,94,2.60
8.222.164.44,2082,2082,false,SIN,Asia Pacific,Singapore,50,2.60
47.236.145.85,2095,2095,false,SIN,Asia Pacific,Singapore,59,2.60
8.222.224.162,2096,2096,true,SIN,Asia Pacific,Singapore,86,2.60
47.236.114.23,2086,2086,false,SIN,Asia Pacific,Singapore,58,2.60
8.219.60.130,2086,2086,false,SIN,Asia Pacific,Singapore,83,2.59
8.222.140.185,2052,2052,false,SIN,Asia Pacific,Singapore,248,2.59
8.222.248.188,2087,2087,true,SIN,Asia Pacific,Singapore,49,2.58
8.219.208.69,2082,2082,false,SIN,Asia Pacific,Singapore,61,2.58
47.245.89.102,8080,8080,false,SIN,Asia Pacific,Singapore,135,2.58
8.219.186.189,2086,2086,false,SIN,Asia Pacific,Singapore,53,2.57
8.222.154.227,2087,2087,true,SIN,Asia Pacific,Singapore,51,2.57
47.236.7.206,2095,2095,false,SIN,Asia Pacific,Singapore,112,2.56
47.236.130.95,2083,2083,true,SIN,Asia Pacific,Singapore,52,2.56
8.222.212.172,2083,2083,true,SIN,Asia Pacific,Singapore,76,2.56
8.222.154.50,8443,8443,true,SIN,Asia Pacific,Singapore,51,2.56
47.236.150.109,2052,2052,false,SIN,Asia Pacific,Singapore,63,2.55
8.222.180.86,2095,2095,false,SIN,Asia Pacific,Singapore,51,2.55
8.222.167.8,2053,2053,true,SIN,Asia Pacific,Singapore,241,2.55
8.219.198.139,2087,2087,true,SIN,Asia Pacific,Singapore,63,2.55
8.222.145.110,2096,2096,true,SIN,Asia Pacific,Singapore,55,2.54
47.236.119.253,2087,2087,true,SIN,Asia Pacific,Singapore,54,2.54
8.222.224.163,2086,2086,false,SIN,Asia Pacific,Singapore,60,2.54
8.222.215.228,2082,2082,false,SIN,Asia Pacific,Singapore,58,2.53
47.236.97.254,2096,2096,true,SIN,Asia Pacific,Singapore,56,2.53
8.219.0.162,2095,2095,false,SIN,Asia Pacific,Singapore,57,2.53
47.245.107.174,2082,2082,false,SIN,Asia Pacific,Singapore,131,2.52
47.236.144.208,2083,2083,true,SIN,Asia Pacific,Singapore,51,2.52
47.236.19.51,2095,2095,false,SIN,Asia Pacific,Singapore,78,2.52
8.222.168.24,2095,2095,false,SIN,Asia Pacific,Singapore,50,2.52
8.222.145.110,8080,8080,false,SIN,Asia Pacific,Singapore,89,2.52
8.222.168.234,2096,2096,true,SIN,Asia Pacific,Singapore,54,2.52
8.222.144.219,2083,2083,true,SIN,Asia Pacific,Singapore,52,2.51
8.219.248.170,2083,2083,true,SIN,Asia Pacific,Singapore,175,2.51
8.222.131.102,2096,2096,true,SIN,Asia Pacific,Singapore,187,2.51
47.236.99.131,2053,2053,true,SIN,Asia Pacific,Singapore,75,2.51
47.236.104.98,2053,2053,true,SIN,Asia Pacific,Singapore,105,2.51
8.219.198.139,8880,8880,false,SIN,Asia Pacific,Singapore,66,2.51
8.222.160.61,2087,2087,true,SIN,Asia Pacific,Singapore,65,2.50
8.222.175.78,8880,8880,false,SIN,Asia Pacific,Singapore,89,2.50
8.222.137.178,2053,2053,true,SIN,Asia Pacific,Singapore,166,2.50
8.222.229.22,2086,2086,false,SIN,Asia Pacific,Singapore,75,2.50
47.236.145.180,2086,2086,false,SIN,Asia Pacific,Singapore,127,2.49
47.236.94.113,2086,2086,false,SIN,Asia Pacific,Singapore,124,2.49
47.236.94.113,2052,2052,false,SIN,Asia Pacific,Singapore,55,2.49
8.219.60.130,2096,2096,true,SIN,Asia Pacific,Singapore,157,2.49
8.222.168.24,8443,8443,true,SIN,Asia Pacific,Singapore,80,2.49
47.236.11.84,2053,2053,true,SIN,Asia Pacific,Singapore,203,2.48
8.219.222.98,8880,8880,false,SIN,Asia Pacific,Singapore,102,2.47
47.245.84.155,8880,8880,false,SIN,Asia Pacific,Singapore,96,2.47
